request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01k7mt9ycyfv1a1ty2pw56ktwd,1760561527198,200,0.186585,1.9271470000000002,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,1575,1575,0,0,844
req_01k7mt9xkjfv0972p0cxq5p3zg,1760561526386,200,0.087885,0.811394,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,1484,1484,0,0,312
req_01k7mt9vhkftxaa8hjw3wc1qk4,1760561524275,200,0.061164,1.76511,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,588,588,0,0,735
req_01k7mt9vf3ftwved24z7d1s5dp,1760561524195,200,0.072082,0.079224,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,185,185,0,0,4
req_01k7mt9vf1ftwtdvh6t413xt3z,1760561524193,200,0,4.932217,groq/compound,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0
req_01k7mt7kkwfrc9gnf6nxv6pyzv,1760561450620,200,0.488205,1.917773,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,4315,4315,0,0,674
req_01k7mt7jb1fra9vcps2cm2k97q,1760561449313,200,0.169495,1.306204,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,4075,4075,0,0,502
req_01k7mt7bzrfr4anxhkckdkn6jg,1760561442808,200,0.132084,2.552105,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,3000,3000,0,0,1053
req_01k7mt798nfqz9wf0ymvshrgnh,1760561440021,200,0.089007,2.443961,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,1484,1484,0,0,1019
req_01k7mt76rxfqwtwanq39yjj86y,1760561437469,200,0.063349,1.7686,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,588,588,0,0,745
req_01k7mt76q4fqwvd3cm8ndg6nw0,1760561437412,200,0.049807,0.056736,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,185,185,0,0,4
req_01k7mt76pzfqwv9y27bkry5p40,1760561437407,200,0,15.130931,groq/compound,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0
req_01k7msx59hfcz8wx5ctyjqjcan,1760561108273,429,0,0.005903,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196508, Requested 4434. Please try again in 6m46.943999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7msx4a3fcxsx2f9ftdvn5an,1760561107267,429,0,0.005607,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196510, Requested 4434. Please try again in 6m47.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7msx3anfcvam5sg9ht36fx0,1760561106261,429,0,0.00498,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196513, Requested 4434. Please try again in 6m49.104s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7msx2b7fcpsqbqppsqjjqkw,1760561105255,429,0,0.004977,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196515, Requested 4434. Please try again in 6m49.968s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7msx0xnfcnsg4hvmtnjcxr9,1760561103797,200,0.167565,1.457556,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,4119,4119,0,0,566
req_01k7mswt1bfce9rdnfkt99q6qc,1760561096747,200,0.131284,3.42524,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,3006,3006,0,0,1432
req_01k7mswp5sfc89hbsa2b6xwmvv,1760561092793,200,0.11588,3.6046899999999997,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,1484,1484,0,0,1527
req_01k7mswkqefc69v9vb0n2jwz47,1760561090286,200,0.061542,1.735571,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,588,588,0,0,745
req_01k7mswknjfc69j4ck0nvg1rqq,1760561090226,200,0.051277,0.058259,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,185,185,0,0,4
req_01k7mswknhfc6bbbtk5b62g9xf,1760561090225,429,0,18.05475,groq/compound,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196508, Requested 4434. Please try again in 6m46.943999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"compound\"}"
req_01k7mswjr2fc4va75jq38za2e2,1760561089282,429,0,0.005344,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196552, Requested 4834. Please try again in 9m58.752s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7mswhrmfc4sy9rqv16cs70c,1760561088276,429,0,0.005261,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196554, Requested 4834. Please try again in 9m59.616s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7mswgs4fc3v71f43zqmgj7r,1760561087268,429,0,0.006591,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196557, Requested 4834. Please try again in 10m0.912s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7mswfspfc18ekfdsrw1n0ad,1760561086262,429,0,0.005556,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196559, Requested 4834. Please try again in 10m1.776s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01k7mswe69fc0at8s7qkjf3c5r,1760561084617,200,0.177863,1.644561,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,4539,4539,0,0,541
req_01k7msw7kjfbwbn4skwakmsqwr,1760561077874,200,0.131612,3.00009,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,3000,3000,0,0,1257
req_01k7msw4pzfbstknne3rgeem4f,1760561074911,200,0.089424,2.640262,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,1484,1484,0,0,1120
req_01k7msw2e8fbmv5gab2pfy7atd,1760561072584,200,0.061472,1.571278,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,588,588,0,0,658
req_01k7msw2cffbm8py9g1egjr81f,1760561072527,200,0.049796,0.056806,meta-llama/llama-4-scout-17b-16e-instruct,key_01k772pd4bfhjs38m0fez8w0bb,185,185,0,0,4
req_01k7msw2c8fbm8eyd5tb67zrpq,1760561072520,429,0,16.768082,groq/compound,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196552, Requested 4834. Please try again in 9m58.752s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"compound\"}"
req_01k7msw1y2epz8se2bqs2nmk3x,1760561072066,429,0,0.005447,openai/gpt-oss-120b,key_01k772pd4bfhjs38m0fez8w0bb,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01k771f42sfjcvbgtxhg7rf6ej` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 196592, Requested 4179. Please try again in 5m33.072s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
